2-THETA,INTENSITY,
48.4,1035,
48.45,1100,
48.5,1061,
48.55,1074,
48.6,1087,
48.65,1061,
48.7,1087,
48.75,1113,
48.8,1074,
48.85,1048,
48.9,1100,
48.95,1074,
49,1125,
49.05,1151,
49.1,1177,
49.15,1268,
49.2,1384,
49.25,1397,
49.3,1552,
49.35,1578,
49.4,1669,
49.45,1708,
49.5,1708,
49.55,1591,
49.6,1527,
49.65,1436,
49.7,1462,
49.75,1410,
49.8,1410,
49.85,1384,
49.9,1358,
49.95,1371,
50,1410,
50.05,1371,
50.1,1358,
50.15,1307,
50.2,1294,
50.25,1294,
50.3,1268,
50.35,1268,
50.4,1397,
50.45,1371,
50.5,1501,
50.55,1539,
50.6,1449,
50.65,1410,
50.7,1242,
50.75,1113,
50.8,1048,
50.85,996,
50.9,918,
50.95,893,
51,893,
51.05,867,
51.1,867,
51.15,802,
51.2,854,
51.25,867,
51.3,802,
51.35,815,
51.4,867,
51.45,854,
51.5,893,
51.55,828,
51.6,880,
51.65,854,
51.7,918,
51.75,970,
51.8,931,
51.85,944,
51.9,944,
51.95,880,
